sample,Acidobacteria,Actinobacteria,Bacteroidetes,Firmicutes,Nitrospirae,Planctomycetes,Proteobacteria,Cyanobacteria,Verrucomicrobia,Fusobacteria,Synergistetes,Fibrobacteres,Deinococcus.Thermus,Spirochaetes,Aquificae,Deferribacteres,Chlorobi,Chloroflexi,Ignavibacteriae,Balneolaeota,Tenericutes
990.KA2U.B.10,0.012345679,0.172839506,0.098765432,0.098765432,0.012345679,0,0.592592593,0,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.11,0.010989011,0.186813187,0.230769231,0.076923077,0.010989011,0.010989011,0.461538462,0,0.010989011,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.12,0.016666667,0.183333333,0.15,0.116666667,0.016666667,0.016666667,0.483333333,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.13,0.010869565,0.173913043,0.163043478,0.097826087,0.010869565,0.010869565,0.52173913,0,0.010869565,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.15,0.016666667,0.133333333,0.133333333,0.116666667,0,0.016666667,0.566666667,0,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.16,0.022727273,0.170454545,0.170454545,0.079545455,0.011363636,0,0.534090909,0,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.17,0.024390244,0.170731707,0.195121951,0.097560976,0,0.012195122,0.487804878,0,0.012195122,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.18,0.012195122,0.182926829,0.134146341,0.109756098,0,0,0.548780488,0,0.012195122,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.20,0.020618557,0.12371134,0.195876289,0.072164948,0.010309278,0.010309278,0.556701031,0,0.010309278,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.21,0.018348624,0.183486239,0.174311927,0.055045872,0.009174312,0.009174312,0.541284404,0,0.009174312,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.22,0.018181818,0.163636364,0.127272727,0.090909091,0,0.018181818,0.563636364,0,0.018181818,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.23,0.009708738,0.145631068,0.213592233,0.116504854,0.009708738,0,0.485436893,0,0.019417476,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.24,0.011111111,0.155555556,0.188888889,0.111111111,0.011111111,0.011111111,0.488888889,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.B.25,0.010869565,0.086956522,0.239130435,0.119565217,0.010869565,0.010869565,0.5,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0
990.KA2U.C.01,0.019607843,0.117647059,0.176470588,0.196078431,0,0,0.470588235,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0
